word,word_diac,ipa,id,meaning_en,cefr,freq,meaning_cn
رجل,رَجُل,rajulin,37,man,A1,838.23,n：男人；丈夫；人
جميع,جَمِيع,jamīʿi,38,all,A2,831.58,adj：所有的；全部的；整个的
بلد,بَلَدٍ,baladin,39,country,A1,813.1,n：国家；家乡；地区
اسم,اسْم,āsmin,40,name,A1,811.42,n：名字；名称；名词
يعني,يَعْنِي,yaʿniya,41,mean,A1,810.87,v：意味着；意思是；表示
دون,دُونَ,dūna,42,without,A1,789.57,prep：没有；缺少；低于
سبب,سَبَب,sababi,43,reason,A2,783.9,n：原因；理由；动机
ثاني,ثَانِي,ṯānī,44,second,A1,779.15,adj：第二的；另一个的；次要的
عالم,عَالَم,ʿālami,45,world,A1,776.61,n：世界；宇宙；学者
قول,قَوْل,qawla,46,say,A1,764.82,n：话语；言论；说法
أيضا,أَيْضًا,ayḍan,47,also,A1,759.67,adv：也；同样；此外
وجد,وَجَد,wajada,48,find,A1,752.73,v：找到；发现；存在
وضع,وَضْع,waḍʿin,49,situation,A1,733.63,v：放置；设置；建立
وقت,وَقْت,waqtin,50,time,A1,714.63,n：时间；时刻；时机
أرض,أَرْض,ʾarḍin,51,land,A1,707.64,n：土地；地球；地面
قوة,قُوَّةِ,quwwati,52,force,A1,705.11,n：力量；权力；强度
صورة,صُورَة,ṣūratin,53,picture,A1,699.76,n：图片；形象；照片
حديث,حَدِيث,ḥadīṯu,54,modern,B1,696.25,n：谈话；对话；圣训
دور,دَوْر,dawra,55,role,B1,682.29,n：角色；作用；轮次
حدث,حَدَث,ḥadaṯa,56,event,A2,679.97,n：事件；事故；v：发生
مرة,مَرَّةً,marratan,57,again,A2,668.84,n：一次；一回；adv：曾经
موضوع,مَوْضُوع,mawḍūʿi,58,subject,A2,657.29,n：主题；话题；问题
مجلس,مَجْلِس,majlisi,59,council,B2,652.72,n：会议；委员会；客厅
عندما,عِنْدَمَا,indamā,60,when,B1,646.27,conj：当...时；在...时候
سياسي,سِيَاسِيّ,siyāsiyyin,61,political,B1,642.87,adj：政治的；政治上的
دين,دَيْن,daynin,62,religion,A1,626.46,n：宗教；信仰
عملية,عَمَلِيَّة,ʿamaliyyati,63,process,B1,620.2,n：过程；程序；手术
منطقة,مِنْطَقَة,minṭaqati,64,region,A2,608.76,n：地区；区域
حكومة,حُكُومَة,ḥukūmati,65,government,B1,608.19,n：政府
حول,حَوْل,ḥawla,66,about,B1,600.16,prep：关于；围绕；大约
الآن,الْآنَ,al-ʾāna,67,now,A1,598.19,adv：现在；目前
قدم,قَدَم,qadami,68,foot,A1,597.17,v：提出；提交；伸出
عدم,عَدَم,ʿadami,69,not,B1,595.4,n：缺乏；没有
شركة,شَرِكَة,sharikati,70,company,A1,592.96,n：公司；企业
حكم,حُكْم,ḥukmi,71,rule,B2,589.06,n：统治；判决；智慧
حياة,حَيَاةً,ḥayātan,72,life,A2,576.05,n：生活；生命；寿命
طريق,طَرِيق,ṭarīqin,73,way,A1,573.25,n：道路；方法；途径
إسلامي,إِسْلَامِيّ,ʾislāmiyyin,74,Islamic,A2,570.08,adj：伊斯兰的；穆斯林的
أراد,أَرَادَ,arāda,75,he wants,A2,565.96,v：想要；希望；打算
بدأ,بَدَأَ,badaʾa,76,begin,A1,563.94,v：开始；启动；着手
أصبح,أَصْبَحَ,aṣbaḥa,77,become,A2,561.48,v：变成；成为；变得
داخل,دَاخِل,dākhila,78,within,A1,558.4,prep：在...里面；n：内部；adj：内部的
ذكر,ذِكْر,thikra,79,mention,A2,554.36,v：提到；记住；n：男性；提及
مسلم,مُسْلِم,muslimin,80,Muslim,A1,549.37,n：穆斯林；adj：伊斯兰教的；信奉伊斯兰教的
فعل,فِعْل,fiʿla,81,do,A1,548.83,v：做；行动；起作用
رأى,رَأَى,raʾā,82,see,A1,547.88,v：看见；认为；考虑
يجب,يَجِب,yajibu,83,must,A2,544.86,v：必须；应该
تاريخ,تَارِيخ,tārīkhi,84,history,B1,544.24,n：历史；日期；日历
نظام,نِظَام,niẓāmi,85,system,B1,539.66,n：系统；制度；秩序
موقع,مَوْقِع,mawqiʿi,86,site,A2,539.48,n：位置；地点；网站
بيت,بَيْت,bayti,87,house,A1,537.5,n：房子；家；房间
نظر,نَظَر,naẓari,88,view,A2,536.66,n：观点；看法；视线
برنامج,بَرْنَامِج,barnāmiju,89,program,B1,529.13,n：节目；程序；计划
ثلاث,ثَلَاث,ṯalāṯa,90,three,A1,520.8,num：三
أهل,أَهْل,ʾahli,91,people,A1,517.09,n：家人，家属；人民，居民；专家，内行
حالة,حَالَة,ḥālatin,92,case,B1,516.61,n：状态，情况；案件；事件
شعب,شَعْب,shaʿbin,93,people,B1,516.23,n：人民，民众；民族
شخص,شَخْص,shakhṣin,94,person,A1,511.72,n：人，个人；人物
عرف,عُرِف,ʿurifa,95,known,A1,509.07,v：知道，了解；认识；熟悉；n：习惯，习俗；惯例
كتب,كُتِب,kutiba,96,book,A1,502.5,v：写，书写；登记；n：书，书籍
خاص,خَاصّ,khāṣṣin,97,special,A1,502.26,adj：特别的，特殊的；私人的，个人的
دولي,دُوَلِي,duwalī,98,international,B1,497.85,adj：国际的
وزير,وَزِير,wazīru,99,minister,B2,492.81,n：部长，大臣
قانون,قَانُون,qānūni,100,law,B2,485.89,n：法律，法规；规则，法则
يد,يَد,yadin,101,hand,A1,484.08,n：手；指针；方面
مشروع,مَشْرُوع,mashrūʿin,102,project,B2,481.15,n：项目；计划；工程
بحث,بَحْث,baḥṯa,103,research,B1,477.29,n：研究；调查；搜索
كاتب,كَاتِب,kātibin,104,writer,A1,476.27,n：作家；作者；文书
مجتمع,مُجْتَمِع,mujtamiʿin,105,society,B1,475.24,n：社会；社区；群体
ألف,أَلْف,ʾalfi,106,thousand,A1,472.11,n：一千；字母‘艾利夫’
سؤال,سُؤَال,suʾālu,107,question,A1,470.56,n：问题；疑问；询问
حال,حَال,ḥālin,108,case,B1,468.87,n：状态；情况；现状
عشرة,عَشْرَة,ʿashrata,109,ten,A1,468.34,num：十
قرآن,قُرْآن,qurʾāni,110,Qur'an,A2,464.35,n：古兰经
أمام,أَمَام,ʾamāma,111,before,A1,463.33,prep：在...前面；在...面前
ابن,ابْنُ,ābnu,112,son,A1,459.41,n：儿子
امرأة,امْرَأَة,āmraʾatin,113,woman,A1,458.94,n：女人；妻子
طالب,طَالِب,ṭālibin,114,student,A1,458.42,n：学生
حرب,حَرْب,ḥarbi,115,war,B1,457.12,n：战争
مكان,مَكَان,makāni,116,place,A2,450.39,n：地方；位置
قضية,قَضِيَّة,qaḍiyyati,117,case,B2,449.48,n：案件；问题；事情
شهر,شَهْر,shahrin,118,month,A1,448.98,n：月；月份
جاء,جَاءَ,jāʾa,119,came,A2,447.58,v：来了；到达
بعد,بَعْدَ,baʿda,120,after,A1,444.16,prep：在...之后；adv：后来；以后
فقط,فَقَطْ,faqaṭ,121,only,A2,443.66,adv：仅仅；只
رغم,رَغْم,raḡma,122,despite,B1,441.71,prep：尽管；虽然
قلب,قَلْب,qalbi,123,heart,B1,439.25,n：心脏；中心；核心
جعل,جَعْل,jaʿlu,124,make,B1,437.25,v：使；让；使得
كلمة,كَلِمَة,kalimata,125,word,A1,437.04,n：单词；话语；口号
طلب,طَلَب,ṭalabi,126,request,A2,435.86,n：请求；要求；申请
وصل,وَصْل,waṣli,127,came,A2,432.52,v：到达；抵达；连接
علاقة,عَلَاقَة,ʿalāqatin,128,relationship,B1,431.58,n：关系；联系；关联
تعليق,تَعْلِيق,taʿlīqin,129,comment,A2,430.2,n：评论；注释；悬挂
مشكلة,مُشْكِلَة,mushkilatin,130,problem,B1,427.09,n：问题；麻烦；难题
حزب,حِزْب,ḥizbin,131,party,C1,424.94,n：党派；政党；派别
جمع,جَمْع,āljamʿa,132,collect,A1,424.54,n：收集；集合；总和
صاحب,صَاحِب,ṣāḥibi,133,owner,A1,423.6,n：主人；拥有者；同伴
طفل,طِفْل,ṭiflin,134,child,A1,421.91,n：孩子；儿童
جانب,جَانِب,jānibin,135,side,A1,420.98,n：侧面；方面；旁边
وجود,وُجُود,wujūdu,136,having,A2,419.41,n：存在；在场；生存
حمل,حَمْل,ḥamlin,137,pregnancy,A2,417.34,v：携带；怀孕；承担
ظهر,ظُهْر,ẓuhri,138,afternoon,A1,417.24,n：背部；后面；背面
الولايات المتحدة,الْوِلَايَاتِ الْمُتَّحِدَة,ālwilāyāti almuttaḥidati,139,United States,B1,415.1,n：美国；美利坚合众国
حب,حَبٍّ,ḥabbin,140,love,A1,408.74,n：爱；爱情；喜爱
مدينة,مَدِينَة,madīnatin,141,city,A1,408.2,n：城市
كتاب,كِتَاب,kitābin,142,book,A1,405.12,n：书
كلام,كَلَام,kalāmu,143,speech,A1,404.25,n：话语；谈话；言论
رب,رَبّ,rabbu,144,lord,A2,403.39,n：主；主人；养育者
إسلام,إسْلَام,ʾislāmin,145,Eslam,A1,402.29,n：伊斯兰教；顺从
نوع,نَوْع,nawʿi,146,type,B1,399.64,n：种类；类型
دع,دَع,daʿa,147,let,B2,398.72,v：让；允许；留下
أخذ,أَخْذ,ʾakhtha,148,take,A2,396.32,v：拿；取；接受
قرار,قَرَار,qarārin,149,resolution,B2,392.17,n：决定；决议
تحت,تَحْتَ,taḥta,150,under,A1,389.71,prep：在...下面；下方
نتيجة,نَتِيجَة,natījatu,151,result,B1,389.64,n：结果；后果；结局
زوج,زَوْج,zawju,152,pair,A1,388.9,n：一对；配偶；夫妻
باب,بَاب,bābi,153,door,A1,388.61,n：门；章节；门户
فكرة,فِكْرَة,fikratu,154,idea,A2,387.89,n：想法；主意；概念
دراسة,دِرَاسَة,dirāsati,155,study,A1,387.58,n：学习；研究；调查
حقيقة,حَقِيقَة,ḥaqīqatin,156,fact,B1,386.37,n：事实；真相；现实
خير,خَيْر,khayra,157,good,A1,386.08,n：善；好事；福利
مجموعة,مَجْمُوعَة,majmūʿati,158,group,B2,385.53,n：组；群；集合
شأن,شَأْن,shaʾni,159,will,B2,383.75,n：事情；事务；地位
مال,مَال,mālin,160,money,A1,383.53,n：钱；财产；财富
استطاع,اسْتَطَاعَ,āstaṭāʿa,161,manage to,A2,383.46,v：能够；有能力
أمن,أَمْن,ʾamni,162,security,B2,382.37,n：安全；安宁；保障
هدف,هَدَف,hadafin,163,goal,B2,378.76,n：目标；目的；球门
أخ,أَخ,ʾakhin,164,brother,A1,378.53,n：兄弟
معنى,مَعْنًى,maʿnan,165,meaning,A1,378.3,n：意义；含义；意思
عضو,عُضْو,ʿuḍwi,166,member,B2,377.43,n：成员；器官；肢体
ساعة,سَاعَة,sāʿati,167,hour,A1,374.89,n：小时；钟表；手表
خاصة,خَاصَّة,khāṣṣatan,168,special,A2,374.03,n：私人；特殊；特别
لجنة,لِجَنَّة,lijannati,169,committee,B2,373.27,n：委员会
عرض,عَرْض,ʿarḍi,170,offer,B1,371.97,n：展示；表演；宽度
شاب,شَابّ,shābbun,171,young,A1,371.6,n：青年；小伙子
سلطة,سُلْطَة,sulṭata,172,authority,A1,365.97,n：沙拉；权力；政权
مختلف,مُخْتَلِف,mukhtalifi,173,various,A2,365.46,adj：不同的；各种各样的
وجه,وَجْه,wajhi,174,face,A1,364.43,n：脸；方面；方向
نحو,نَحْو,naḥwa,175,towards,B2,363.34,prep：向；朝着；大约
ضد,ضِدّ,ḍidda,176,against,A2,362.11,prep：反对；对抗；与...相对
مثال,مِثَال,miṯālu,177,example,A1,358.76,n：例子；榜样；典范
طريقة,طَرِيقَة,ṭarīqata,178,way,B1,358.17,n：方法；方式；途径
إدارة,إِدَارَة,ʾidāratu,179,management,B2,357.33,n：管理；行政；行政部门
آية,آيَة,ʾāyatu,180,verse,C1,356.42,n：经文；奇迹；迹象
مركز,مَرْكَز,markazi,181,center,A2,352.33,n：中心；中央；总部
بُعد,بُعْد,buʿdi,182,distance,A1,444.16,n：距离；维度；方面
رأي,رَأْي,raʾyi,183,view,A2,345.45,n：意见；观点；看法
دخل,دَخْل,dakhla,184,income,A2,344.62,v：进入；n：收入
تحقيق,تَحْقِيق,taḥqīqi,185,achieving,B2,343.25,n：实现；调查；成就
دكتور,دُكْتُورَ,duktūra,186,Dr,A1,343.23,n：博士；医生
حسب,حَسَبَ,ḥasaba,187,according to,B1,341.09,prep：根据；按照
مجال,مَجَال,majālun,188,area,B2,340.75,n：领域；范围；场地
أخير,أَخِير,ʾakhīrin,189,last,A2,340,adj：最后的；最近的
عين,عَيْن,ʿaynun,190,eye,A1,336.45,n：眼睛；v：任命；指定
حاجة,حَاجَة,ḥājatin,191,need,B2,335.86,n：需要；必需品；事情
ماء,مَاءِ,māʾi,192,water,A1,334.28,n：水
حل,حِلّ,ḥilli,193,solution,B1,332.39,n：解决方案；v：解决；n：解药
صحيح,صَحِيح,ṣaḥīḥun,194,right,A1,330.52,adj：正确的；adv：确实；adj：真实的
فترة,فَتْرَة,fatratin,195,period,A2,329.8,n：时期；阶段；时间段
خارج,خَارِج,khārija,196,outside,A1,326.27,prep：在...外面；adj：外部的；adv：外面
واقع,وَاقِع,wāqiʿun,197,reality,B2,326.17,n：现实；事实；实际情况
معلومة,مَعْلُومَة,maʿlūmatin,198,information,B2,324.18,n：信息；消息；资料
صلاة,صَلَاة,ṣalātin,199,prayer,A2,323.68,n：祈祷；礼拜；祷告
وطني,وَطَنِي,waṭanī,200,national,C1,321.69,adj：国家的；民族的；爱国的
رد,رَدّ,raddi,201,response,B1,320.77,v：回答；回复；回应
عبر,عَبَر,ʿabara,202,through,B2,320.76,v：穿过；表达；prep：通过
بناء,بِنَاء,bināʾi,203,building,B1,319.18,n：建筑；建设；v：建造
اعتبر,اعْتَبَرَ,āʿtabara,204,was considered,B1,318.39,v：认为；视为；考虑
ربما,رُبَّمَا,rubbamā,205,maybe,B1,317.23,adv：也许；可能
عالمي,عَالِمِيّ,ʿālimiyyin,206,global,B2,315.81,adj：全球的；世界的；普遍的
أتى,أَتَى,atā,207,came,A2,315.39,v：来；到达
تعليم,تَعْلِيم,taʿlīmi,208,education,A1,315.38,n：教育；教学
أكد,أُكَد,ʾukadu,209,confirm,A2,314.37,v：确认；强调；证实
قيمة,قِيمَة,qīmatin,210,value,B2,314.36,n：价值；价格；重要性
مليون,مَلْيُون,malyūni,211,million,A1,310.89,n：百万
رقم,رَقْم,raqma,212,number,A1,310.41,n：数字；号码；排名
عرب,عَرْب,ʿarbi,213,Arab,A1,309.71,n：阿拉伯人；阿拉伯的
نسبة,نِسْبَة,nisbatu,214,percentage,B1,309.51,n：比例；百分比；比率
اجتماعي,اجْتِمَاعِيّ,ājtimāʿiyyin,215,social,B1,309.45,adj：社会的；社交的
لغة,لُغَة,luḡatan,216,language,A1,309.33,n：语言；舌头
نقل,نَقْل,ālnnaqli,217,transport,A2,308.79,v：运输；转移；搬运；n：运输；转移
ذهب,ذَهَب,thahabin,218,gold,A2,308.54,v：去；离开；n：黄金
جزء,جُزْء,juzʾin,219,part,A2,307.88,n：部分；片段；零件
نص,نَصّ,naṣṣin,220,text,B1,307.35,n：文本；段落；一半
ثالث,ثَالِثٌ,ṯāliṯun,221,third,A1,307.15,adj：第三的；第三位的
مصدر,مَصْدَر,maṣdari,222,source,B2,305.78,n：来源；根源；动词原形
اقتصادي,اقْتِصَادِيّ,āqtiṣādiyyin,223,economic,B2,303.54,adj：经济的；经济学的
عامل,عَامِل,ʿāmilin,224,working,A1,302.11,n：工人；因素；操作员
عقد,عَقْد,ʿaqdi,225,contract,B2,300.73,n：合同；契约；十年
حر,حُر,ḥurrin,226,free,B2,300.21,adj：自由的；空闲的；免费的
بالنسبة إلى,بِالنِّسْبَةِ إلَى,bi-n-nisbati ilā,227,relative to,C1,299.72,prep：关于；对于；就...而言
كامل,كَامِل,kāmilin,228,full,B1,299.48,adj：完整的；全部的；完全的
أمة,أَمَة,ʾamati,229,nation,C1,298.62,n：民族；国家；共同体
مشاركة,مُشَارَكَة,mushārakati,230,participation,B2,298.52,n：参与；分享；合伙
سوق,سُوق,sūqi,231,market,A2,298.36,n：市场；集市
قتل,قُتِل,qutila,232,kill,B2,296.52,v：杀死；谋杀
وزارة,وَزَارَة,wazārati,233,ministry,C1,296.24,n：部；部门；部委
منظمة,مُنَظَّمَة,munaẓẓamatu,234,organization,B2,295.39,n：组织；机构
ماضي,مَاضِي,māḍī,235,past,A2,293.36,n：过去；往事；adj：过去的
إنتخاب,إنْتِخَاب,ʾintikhāba,236,election,B2,292.83,n：选举；推选
مادة,مَادَّة,māddatin,237,material,A2,291.46,n：物质；材料；条款
زمن,زَمَن,zamani,238,time,C2,290.77,n：时间；时期
مرحلة,مَرْحَلَة,marḥalatin,239,stage,B1,290.69,n：阶段；时期
بلغ,بَلَغَ,balaḡa,240,turned,C1,287.25,v：到达；达到；传达
النبي صلى الله عليه وسلم,النَّبِيِّ صَلَّى اللَّهُ عَلِيْهِ وَسَلَّم,ālnnabiyyi ṣallā alllahu aliyhi wasallama,241,prayer,C1,286.08,n：先知穆罕默德（愿主福安之）
شخصي,شَخْصِي,shakhṣī,242,personal,A2,285.53,adj：个人的；私人的；本人的
بيان,بَيَان,bayāni,243,statement,C1,285.47,n：声明；陈述；说明
خرج,خَرَجَ,kharaja,244,emerged,B2,285.4,v：出去；离开；外出
أساس,أَسَاس,ʾasāsi,245,basis,B1,284.45,n：基础；根基；根据
صوت,صَوْتُ,ṣawtu,246,sound,A2,284.36,n：声音；嗓音；语音
مواطن,مَوَاطِن,mawāṭina,247,citizen,B2,283.2,n：公民；居民；国民
جهة,جِهَةٍ,jihatin,248,party,B2,282.06,n：方向；方面；机构
مؤسسة,مُؤَسَّسَة,muʾassasatu,249,institution,C1,281.19,n：机构；组织；基金会
حرك,حُرَّك,ḥurraka,250,move,A2,280.54,v：移动；运动；发动
جهاز,جِهَاز,jihāzi,251,device,B2,279.21,n：设备，装置；器官；机构
قسم,قِسْم,qismin,252,section,A2,276.68,n：部门；科，系；部分
سعر,سِعْر,siʿru,253,price,A2,276.64,n：价格；价值
اتفاق,اتِّفَاق,āttifāqin,254,agreement,B2,275.93,n：协议，协定；一致
موجود,مَوْجُود,mawjūdin,255,exist,B1,275.55,adj：存在的，现有的；可用的
صغير,صَغِير,ṣaḡīrin,256,small,A1,273.41,adj：小的；年幼的；次要的
شعر,شِعْر,shiʿru,257,hair,A1,273.21,n：头发；诗歌；感觉
ولد,وُلِد,wulida,258,boy,A1,273.16,n：男孩；儿子
سبق,سَبَق,sabaqa,259,already,B1,272.27,v：先于，早于；胜过
طرف,طَرَف,ṭarafi,260,party,B1,271.89,n：边，侧；一方；末端
سياسة,سِيَاسَة,siyāsati,261,policy,C1,271.83,n：政策；政治；策略
خط,خَطّ,khaṭṭi,262,line,A2,271,n：线；线条；路线
قطاع,قِطَاع,qiṭāʿi,263,sector,B2,270.26,n：部门；领域；扇形
وقع,وَقَعَ,waqaʿa,264,sign,A2,269.21,v：签署；发生；位于
نشر,نَشْر,nashri,265,publish,B2,268.52,v：发布；传播；展开
أدى,أَدَّى,addā,266,lead,B1,267.74,v：导致；引起；产生
مسألة,مَسْأَلَة,masʾalati,267,issue,C1,267.67,n：问题；议题；事情
قدر,قَدْر,qadri,268,amount,A2,267.49,n：能力；命运；数量
خبر,خَبَر,khabari,269,news,B1,266.74,n：消息；新闻；经验
خدم,خَدَمَ,khadama,270,service,A1,266.28,v：服务；伺候；服役
نساء,نِسَاء,nisāʾin,271,female,A1,266.25,n：妇女；女性
حصل,حَصَلَ,ḥaṣala,272,happen,A2,263.57,v：获得；发生；实现
أفضل,أَفْضَل,ʾafḍali,273,best,A1,261.4,adj：更好的；最好的
عسكري,عَسْكَرِي,ʿaskarī,274,military,C1,261.24,adj：军事的；军人的
ملك,مَلْك,malku,275,king,B1,258.58,n：国王；君主；拥有者
إضافة,إضَافَة,ʾiḍāfati,276,adding,B1,258.53,n：添加；补充；附加物
صدر,صَدْر,ṣadrin,277,chest,A1,258.53,v：发布；发出；出版
استخدام,اسْتِخْدَامُ,āstikhdāmu,278,use,A2,257.23,n：使用；利用；应用
عديد,عَدِيد,ʿadīdin,279,many,B1,257.22,adj：许多的；大量的
صفحة,صَفْحَة,ṣafḥatin,280,page,A2,257.16,n：页；页面；面
سابق,سَابِق,sābiqin,281,former,B1,257,adj：先前的；过去的；前任的
رسالة,رِسَالَة,risālatin,282,message,A1,253.41,n：信件；信息；使命
موقف,مَوْقِف,mawqifin,283,position,B1,252.47,n：立场；态度；位置
قوي,قَوِيّ,qawiyyin,284,strong,A2,251.92,adj：强壮的；强大的；坚固的
حالي,حَالِيّ,ḥāliyyin,285,current,B1,251.51,adj：当前的；现在的
رأس,رَأْس,raʾsi,286,head,A1,250.89,n：头；首领；顶端
عظيم,عَظِيم,ʿaẓīmin,287,great,B1,250.35,adj：伟大的；巨大的；崇高的
مدرسة,مَدْرَسَة,madrasati,288,school,A1,250.1,n：学校；学派；方法
أشار,أَشَارَ,ashāra,289,noted,B2,250.07,v：指出；示意；暗示
مستوى,مُسْتَوَى,mustawā,290,level,B1,247.65,n：水平；级别；程度
نهاية,نِهَايَة,nihāyati,291,end,A2,247.08,n：结束；终点；结局
سمع,سَمِعَ,samiʿa,292,hearing,A2,246.6,v：听见；听到；听从
فهم,فَهْم,fahmi,293,understanding,A2,246.36,v：理解；明白；领会
روح,رُوح,rūḥi,294,spirit,C1,245.84,n：灵魂；精神；幽灵
خمسة,خَمْسَة,khamsati,295,five,A1,244.58,num：五
قصة,قِصَّة,qiṣṣata,296,story,A1,242,n：故事；小说；情节
زاد,زَادُ,zādu,297,increase,B1,241.12,v：增加；增长；增多
خلق,خَلْق,khalqi,298,create,C1,241.11,v：创造；塑造；制造
زيادة,زِيَادَة,ziyādati,299,increase,B1,240.18,n：增加；增长；增量
قدرة,قُدْرَة,qudratun,300,capacity,B2,239.1,n：能力；容量；力量
صحيفة,صَحِيفَة,ṣaḥīfatin,301,newspaper,B1,238.48,n：报纸；文件；页面
فريق,فَرِيق,farīqi,302,team,A2,237.01,n：团队；小组；队伍
اتحاد,اتِّحَاد,āttiḥādin,303,union,C1,236.29,n：联盟；联合会；联合
دفع,دَفْع,dafʿi,304,pay,A2,236.1,v：支付；推动；驱赶
وسيلة,وَسِيلَة,wasīlatan,305,way,B2,235.66,n：手段；工具；方法
وقف,وَقْف,waqfi,306,stop,A2,234.73,v：停止；站立；阻止
دعم,دَعْم,daʿmi,307,support,C1,234.51,v：支持；支撑；援助
بداية,بِدَايَة,bidāyata,308,beginning,B1,234.14,n：开始；开端；起点
زال,زَالَ,zāla,309,still,B2,233.88,v：消失；离去；消除
طويل,طَوِيل,ṭawīlin,310,long,A1,233.61,adj：长的；长久的；高大的
بدا,بَدَّا,baddā,311,seem,C1,233.09,v：开始；显得；出现
فرد,فَرْد,fardin,312,individual,A2,233.04,n：个人；个体；单数
نائب,نَائِبُ,nāʾibu,313,deputy,B2,232.65,n：副手；代表；议员
نفس,نَفْس,nafsi,314,same,B1,232.64,n：灵魂；自我；气息
نفسي,نَفْسِي,nafsī,315,myself,B2,232.64,adj：心理的；精神的；自我的
تقرير,تَقْرِيرُ,taqrīru,316,report,B1,232.21,n：报告；报道；陈述
جيش,جَيْش,jaysha,317,army,C1,231.8,n：军队；大军；武装力量
علمي,عِلْمِي,ʿilmī,318,scientific,B2,230.12,adj：科学的；学术的
عالِم,عَالَم,ʿālami,319,scientist,A1,776.61,n：科学家；学者；博学的人
تحدث,تُحْدِّث,tuḥddiṯa,320,occur,A2,230.1,v：说话；谈论；发生
قليل,قَلِيل,qalīla,321,little,A1,229.62,adj：少的；小的；稀少的
مزيد,مَزِيد,mazīdin,322,more,B1,229.09,adj：更多的；增加的
جماعة,جَمَاعَة,jamāʿatu,323,group,B2,228.89,n：团体；群体；一群人
فيلم,فيْلْم,fylmin,324,film,A1,226.35,n：电影；影片
رواية,رِوَايَة,riwāyati,325,novel,B1,225.65,n：小说；长篇小说
قاعدة,قَاعِدَة,qāʿidati,326,base,C1,225.5,n：基础；规则；基地
واضح,وَاضِح,wāḍiḥin,327,clear,A1,225.37,adj：清楚的；明显的
قديم,قَدِيم,qadīmin,328,old,A1,223.86,adj：古老的；旧的；过时的
مؤتمر,مُؤْتَمِر,muʾtamiri,329,conference,C1,223.85,n：会议；大会
ممكن,مُمْكِن,mumkinin,330,possible,A1,223.44,adj：可能的；可行的
عنوان,عِنْوَان,ʿinwānu,331,address,A1,223.13,n：地址；标题；称呼
ذات,ذًاتٍ,thantin,332,same,B2,220.37,n：自身；本质；女性
معرفة,مَعْرِفَة,maʿrifata,333,know,B2,220.34,n：知识；认识；了解
ظل,ظِلّ,ẓilli,334,under,C1,220.22,n：影子；阴影；荫凉处
ترك,تَرْك,tarku,335,leave,A2,219.01,v：离开；放弃；留下
